Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
9.322124661968159365e-10,9.545478440410656032e-06
9.491580124580934226e-10,9.663515396166631120e-06
9.663819187431654389e-10,9.783011995142341103e-06
9.838879897515984286e-10,9.903986286891626665e-06
1.001680092435287745e-09,1.002645654419342291e-05
1.019762160244015704e-09,1.015044126581858907e-05
1.038138197770676429e-09,1.027595917933162589e-05
1.056812285826803561e-09,1.040302924392767351e-05
1.075788586981078612e-09,1.053167065330536941e-05
1.095071351595627514e-09,1.066190283857598649e-05
1.114664924397205026e-09,1.079374547120941363e-05
1.134573751622773780e-09,1.092721846601744806e-05
1.154802388781542568e-09,1.106234198417495697e-05
1.175355509078239368e-09,1.119913643627941975e-05
1.196237912545274855e-09,1.133762248544944396e-05
1.217454535934479180e-09,1.147782105046273955e-05
1.239010463422332013e-09,1.161975330893418643e-05
1.260910938186008211e-09,1.176344070053454612e-05
1.283161374911184135e-09,1.190890493025041885e-05
1.305767373296362096e-09,1.205616797168605247e-05
1.328734732622536634e-09,1.220525207040763698e-05
1.352069467461288796e-09,1.235617974733066713e-05
1.375777824598963306e-09,1.250897380215113572e-05
1.399866301259339578e-09,1.266365731682105206e-05
1.424341664712328026e-09,1.282025365906914968e-05
1.449210973361560248e-09,1.297878648596734396e-05
1.474481599409442418e-09,1.313927974754371049e-05
1.500161253204237031e-09,1.330175769044269235e-05
1.526258009380106183e-09,1.346624486163334255e-05
1.552780334907742511e-09,1.363276611216625059e-05
1.579737119180350824e-09,1.380134660098009670e-05
1.607137706267209583e-09,1.397201179875849094e-05
1.634991929475017077e-09,1.414478749183803928e-05
1.663310148365586612e-09,1.431969978616842589e-05
1.692103288387329043e-09,1.449677511132543163e-05
1.721382883287325886e-09,1.467604022457771202e-05
1.751161120480695338e-09,1.485752221500838675e-05
1.781450889564397921e-09,1.504124850769226390e-05
1.812265834173685802e-09,1.522724686792976811e-05
1.843620407391047590e-09,1.541554540553849898e-05
1.875529930929852683e-09,1.560617257920359234e-05
1.908010658327867993e-09,1.579915720088777696e-05
1.941079842399598216e-09,1.599452844030239390e-05
1.974755807210895516e-09,1.619231582944041022e-05
2.009058024854600549e-09,1.639254926717268065e-05
2.044007197322144828e-09,1.659525902390854646e-05
2.079625343783152415e-09,1.680047574632222173e-05
2.115935893603043371e-09,1.700823046214603761e-05
2.152963785447713352e-09,1.721855458503205225e-05
2.190735572844419086e-09,1.743147991948333097e-05
2.229279536589186915e-09,1.764703866585631955e-05
2.268625804413414049e-09,1.786526342543583198e-05
2.308806478345952325e-09,1.808618720558417725e-05
2.349855770231798720e-09,1.830984342496593307e-05
2.391810145894862556e-09,1.853626591885017556e-05
2.434577998170291650e-09,1.876548869861822185e-05
2.478041626571203059e-09,1.899754614980913523e-05
2.522210312303947871e-09,1.923247332554337650e-05
2.567093493161963766e-09,1.947030571248751927e-05
2.612700749865749120e-09,1.971107923618737269e-05
2.659041815744274234e-09,1.995483026651137098e-05
2.706126587355838538e-09,2.020159562316299937e-05
2.753965136121421261e-09,2.045141258126318857e-05
2.802567721048398433e-09,2.070431887700363620e-05
2.851944802627706986e-09,2.096035271337206513e-05
2.902107057992983302e-09,2.121955276595057061e-05
2.953065397435976055e-09,2.148195818878798104e-05
